"","Diseased","Control"
"pink",0.481817969655511,-0.481817969655511
"red",0.109133504564415,-0.109133504564415
"grey",-0.0349658499808112,0.0349658499808112
"purple",-0.0456447371739939,0.0456447371739939
"turquoise",-0.0726464383850777,0.0726464383850777
"black",-0.350604434782152,0.350604434782152
"yellow",-0.375150357726446,0.375150357726446
"magenta",-0.379019295065219,0.379019295065219
"green",-0.569256066948124,0.569256066948124
"brown",-0.635225429484931,0.635225429484931
"blue",-0.867184677739769,0.867184677739769
